Acai 		
Amount Needed 	City 	Region 
25	Awjilah, LY 	Africa East 
25	Lome, TG 	Africa West 
50	Kassala, SD 	Africa East 
50	Bismarck, ND 	USA Center 
50	El Paso, TX 	USA West 
150	Ciudad Victoria, MX 	Mexico 
150	Yoshkar-Ola, RU 	Russia West 
150	Miami, FL 	USA South 
350	St. John's, NL 	Canada East 
350	Hermosillo, MX 	Mexico 
350	La Paz, BO 	S. America Center 
1,7	Total Amount 	
		
 		
Copper Cable 		
Amount Needed 	City 	Region 
25	Mahalapye, BW 	Africa South 
50	Geroge, SA 	Africa South 
50	Norilsk, RU 	Russia East 
125	Total Amount 	
		
 		
Corn 		
Amount Needed 	City 	Region 
25	Dover, DE 	USA East 
25	Montpelier, VT 	USA East 
50	Gulu, UG 	Africa Center 
50	Atyrau, KZ 	Asia Center 
50	Hazelton, BC 	Canada West 
50	El Salvador, CL 	S. America Lower 
50	Nazca, PE 	S. America Upper 
150	Lubumbashi, DR 	Africa Center 
350	Hulun Buir, CN 	Asia North 
350	Krasnoyarsk Krai, RU 	Russia East 
350	Medellin, CO 	S. America Upper 
350	Detroit, MI 	USA East 
1	New Orleans, LA 	USA South 
2,85	Total Amount 	
		
 		
Cotton 		
Amount Needed 	City 	Region 
50	Baidoa, SO 	Africa East 
50	Port Said, EG 	Africa East 
150	Mamoudzou, YT 	Africa South 
350	Ashgabat, TM 	Asia Center 
350	Zhengzhou, CN 	Asia North 
350	Guayaquil, EC 	S. America Upper 
1,3	Total Amount 	
		
 		
Cow 		
Amount Needed 	City 	Region 
25	Egvekinot, RU 	Russia East 
25	Kennewick, WA 	USA West 
50	Lobito, AO 	Africa South 
50	Tete, MZ 	Africa South 
50	Albany, AU 	Oceania West 
150	Kigali, RW 	Africa Center 
150	Nuiqsut, AK 	Alaska 
150	Budapest, HU 	Europe East 
150	Monclova, MX 	Mexico 
150	Natal, BR 	S. America Center 
150	Pittsburgh, PA 	USA East 
350	Nashville, TN 	USA South 
1,45	Total Amount 	
		
 		
Cricket Bat 		
Amount Needed 	City 	Region 
25	Catio, GW 	Africa West 
50	Gabes, TN 	Africa West 
1	Asuncion, PY 	S. America Center 
1,075	Total Amount 	
		
 		
Cupuacu 		
Amount Needed 	City 	Region 
150	Coquimbo, CL 	S. America Lower 
150	Bucaramanga, CO 	S. America Upper 
300	Total Amount 	
		
 		
Daikon 		
Amount Needed 	City 	Region 
50	Dakhla, EH 	Africa West 
150	Algies, AL 	Africa West 
350	Nanjing, CN 	Asia North 
550	Total Amount 	
		
 		
Didgeridoo 		
Amount Needed 	City 	Region 
50	Newman, AU 	Oceania West 
50	Total Amount 	
		
 		
Diesel Fuel 		
Amount Needed 	City 	Region 
25	Beaufort West, SA 	Africa South 
25	Gaborone, BW 	Africa South 
50	Novy Urengoy, RU 	Russia East 
50	Cayenne, GF 	S. America Upper 
150	Bishkek, KG 	Asia Center 
350	Taichung City, TW 	Asia North 
350	Ufa, RU 	Russia West 
1	Sucre, BO 	S. America Center 
2	Total Amount 	
		
 		
Egg 		
Amount Needed 	City 	Region 
25	Franceville, GA 	Africa Center 
50	Port Augusta, AU 	Oceania West 
150	Saint-Denis, RE 	Africa South 
150	Lhasa, CN 	Asia North 
150	Cartangena, CO 	S. America Upper 
350	Christchurch, NZ 	Oceania East 
875	Total Amount 	
		
 		
Firework 		
Amount Needed 	City 	Region 
25	The Pas, MB 	Canada Center 
50	Marsa Matruh, EG 	Africa East 
50	Boulia, AU 	Oceania East 
150	Blantyre, MW 	Africa Center 
150	Bunia, DR 	Africa Center 
150	Atlanta, GA 	USA South 
350	Calgary, AB 	Canada West 
350	Kingston, JM 	Caribbean 
1	Montreal, QC 	Canada East 
2,275	Total Amount 	
		
 		
Flour 		
Amount Needed 	City 	Region 
150	Cape Town, SA 	Africa South 
150	Kano, NG 	Africa West 
300	Total Amount 	
		
 		
Gasoline Tank 		
Amount Needed 	City 	Region 
25	Maun, BW 	Africa South 
25	Boucraa, EH 	Africa West 
50	Abuja, NG 	Africa West 
150	Port Harcourt, NG 	Africa West 
150	Shymkent, KZ 	Asia Center 
150	Nizhnevartovsk, RU 	Russia East 
350	Okinawa, JP 	Asia East 
900	Total Amount 	
		
 		
Grape 		
Amount Needed 	City 	Region 
25	Neryungri, RU 	Russia East 
50	Benghazi, LY 	Africa East 
50	Port Sudan, SD 	Africa East 
50	Coral Bay, AU 	Oceania West 
350	Curitiba, BR 	S. America Center 
525	Total Amount 	
		
 		
Green Tea 		
Amount Needed 	City 	Region 
25	Nsharm El-Sheikh, EG 	Africa East 
50	Launceston, AU 	Oceania East 
150	Mogadishu, SO 	Africa East 
1	Shanghai, CN 	Asia North 
1	Lima, PE 	S. America Upper 
2,225	Total Amount 	
		
 		
Guava 		
Amount Needed 	City 	Region 
25	Am Timan, TD 	Africa East 
50	Wajir, KE 	Africa East 
150	Neuquen, AR 	S. America Lower 
150	Paramaribo, SR 	S. America Upper 
375	Total Amount 	
		
 		
Guitar 		
Amount Needed 	City 	Region 
50	Mwene-Ditu, DR 	Africa Center 
350	Porto Alegre, BR 	S. America Center 
400	Total Amount 	
		
 		
Gzhel 		
Amount Needed 	City 	Region 
25	Vredendal, SA 	Africa South 
150	Vladimir, RU 	Russia West 
175	Total Amount 	
		
 		
Hand Fan 		
Amount Needed 	City 	Region 
25	Makokou, GA 	Africa Center 
25	Total Amount 	
		
 		
Hockey Stick 		
Amount Needed 	City 	Region 
25	Shahat, LY 	Africa East 
25	Galesburg, IL 	USA Center 
50	Shashamane, ET 	Africa East 
50	Fort Yukon, AK 	Alaska 
50	Saint Paul, MN 	USA Center 
150	Zurich, CH 	Europe West 
150	Komsomolsk-on-Amur, RU 	Russia East 
350	Tuxtla Gutierrez, MX 	Mexico 
1	Guatemala, GT 	Central America 
1,85	Total Amount 	
		
 		
Holy Water 		
Amount Needed 	City 	Region 
25	Errachidia, MA 	Africa West 
25	Santiago, PA 	Central America 
25	Tallinn, EE 	Europe North 
25	Rome, IT 	Europe South 
50	Cluj-Napoca, RO 	Europe East 
50	Chetumal, MX 	Mexico 
150	Accra, GH 	Africa West 
350	Total Amount 	
		
 		
Honey 		
Amount Needed 	City 	Region 
25	Ghat, LY 	Africa East 
25	Santo Domingo, DO 	Caribbean 
25	Riga, LV 	Europe North 
25	Des Moines, IA 	USA Center 
25	Rapid City, SD 	USA Center 
25	Harrisburg, PA 	USA East 
50	Gambela, ET 	Africa East 
150	Malabo, GQ 	Africa Center 
150	Cheboksary, RU 	Russia West 
150	Izhevsk, RU 	Russia West 
150	Coro, VE 	S. America Upper 
350	Foshan, CN 	Asia North 
1,15	Total Amount 	
		
 		
Ice Blocks 		
Amount Needed 	City 	Region 
0	Total Amount 	
		
 		
Ice Cream 		
Amount Needed 	City 	Region 
350	Sydney, AU 	Oceania East 
350	Adelaide, AU 	Oceania West 
700	Total Amount 	
		
 		
Incense 		
Amount Needed 	City 	Region 
50	Asyut, EG 	Africa East 
50	Kismayo, SO 	Africa East 
1	Chengdu, CN 	Asia North 
1,1	Total Amount 	
		
 		
Instant Ramen 		
Amount Needed 	City 	Region 
25	Antsiranana, MG 	Africa South 
25	Al Mahbes, EH 	Africa West 
150	Maiduguri, NG 	Africa West 
1	Tianjin, CN 	Asia North 
1,2	Total Amount 	
		
 		
Iron 		
Amount Needed 	City 	Region 
25	Kalemie, DR 	Africa Center 
25	Mpanda, TZ 	Africa Center 
25	Fort Simpson, NT 	Canada West 
50	Pierre, SD 	USA Center 
50	Santa Fe, NM 	USA West 
150	Maturin, VE 	S. America Upper 
350	Culiacan, MX 	Mexico 
350	Yekaterinburg, RU 	Russia West 
350	Albuquerque, NM 	USA West 
1,375	Total Amount 	
		
 		
Jackfruit 		
Amount Needed 	City 	Region 
1	Port Vila, VU 	Oceania East 
1	Total Amount 	
		
 		
Jade 		
Amount Needed 	City 	Region 
25	Maintirano, MG 	Africa South 
25	Upington, SA 	Africa South 
350	Changsha, CN 	Asia North 
350	Mendoza, AR 	S. America Lower 
750	Total Amount 	
		
 		
Japanese Spring Water 		
Amount Needed 	City 	Region 
50	Polokwane, SA 	Africa South 
50	Choibalsan, MN 	Asia North 
100	Total Amount 	
		
 		
Kendama 		
Amount Needed 	City 	Region 
25	Ambanja, MG 	Africa South 
50	Durban, SA 	Africa South 
150	Altay, CN 	Asia North 
225	Total Amount 	
		
 		
Kimono 		
Amount Needed 	City 	Region 
25	Serowe, BW 	Africa South 
150	Port Elizabeth, SA 	Africa South 
1	Beijing, CN 	Asia North 
1,175	Total Amount 	
		
 		
Koala Plush 		
Amount Needed 	City 	Region 
150	Derby, AU 	Oceania West 
150	Total Amount 	
		
 		
Korean Spring Water 		
Amount Needed 	City 	Region 
50	Constantine, AL 	Africa West 
50	Saint Louis, SN 	Africa West 
150	Tianjun, CN 	Asia North 
350	Sendai, JP 	Asia East 
600	Total Amount 	
		
 		
Lacquer Box 		
Amount Needed 	City 	Region 
25	Warmbad, NA 	Africa South 
50	Luanshya, ZM 	Africa South 
150	Makhachkala, RU 	Russia West 
225	Total Amount 	
		
 		
Lead 		
Amount Needed 	City 	Region 
25	Banjul, GM 	Africa West 
150	Tunis, TN 	Africa West 
150	Boa Vista, BR 	S. America Center 
325	Total Amount 	
		
 		
Lemon 		
Amount Needed 	City 	Region 
25	Namibe, AO 	Africa South 
50	Mutare, ZW 	Africa South 
50	Sherbrooke, QC 	Canada East 
50	Karratha, AU 	Oceania West 
50	Springfield, IL 	USA Center 
50	Albany, NY 	USA East 
150	Bujumbura, BI 	Africa Center 
150	Baltimore, MD 	USA East 
350	Barrow, AK 	Alaska 
350	Phoenix, AZ 	USA West 
1	Tyumen, RU 	Russia East 
2,275	Total Amount 	
		
 		
Lime 		
Amount Needed 	City 	Region 
1	Wellington, NZ 	Oceania East 
1	Total Amount 	
		
 		
Lotus Flower 		
Amount Needed 	City 	Region 
25	Tchibanga, GA 	Africa Center 
1	Harbin, CN 	Asia North 
1,025	Total Amount 	
		
 		
Mahogany Timber 		
Amount Needed 	City 	Region 
25	Ballou, SN 	Africa West 
25	El Boma, AL 	Africa West 
150	Cusco, PE 	S. America Upper 
350	Cordoba, AR 	S. America Lower 
550	Total Amount 	
		
 		
Mango 		
Amount Needed 	City 	Region 
1	Port Moresby, PG 	Oceania East 
1	Total Amount 	
		
 		
Matryoshka Doll 		
Amount Needed 	City 	Region 
25	Ouarzazate, MA 	Africa West 
50	Tamale, GH 	Africa West 
150	Veliky Novgorod, RU 	Russia West 
225	Total Amount 	
		
 		
Meatball 		
Amount Needed 	City 	Region 
25	Bouarfa, MA 	Africa West 
50	Timisoara, RO 	Europe East 
150	Kumasi, GH 	Africa West 
150	Porto, PT 	Europe South 
150	Concepcion, CL 	S. America Lower 
350	Athens, GR 	Europe South 
350	Campeche, MX 	Mexico 
1,225	Total Amount 	
		
 		
Micro Processor 		
Amount Needed 	City 	Region 
25	Luderitz, NA 	Africa South 
50	Montego Bay, JM 	Caribbean 
50	Tucson, AZ 	USA West 
150	Kinshasa, DR 	Africa Center 
150	Lusaka, ZM 	Africa South 
150	Colima, MX 	Mexico 
350	Sapporo, JP 	Asia East 
350	Vancouver, BC 	Canada West 
350	Novosibirsk, RU 	Russia East 
350	Nizhny Novgorod, RU 	Russia West 
1	Toronto, ON 	Canada East 
1	San Francisco, CA 	USA West 
3,975	Total Amount 	
		
 		
Milk 		
Amount Needed 	City 	Region 
50	Mataranka, AU 	Oceania West 
50	Port Lincoln, AU 	Oceania West 
100	Total Amount 	
		
 		
Mini Lantern 		
Amount Needed 	City 	Region 
50	Kitale, KE 	Africa East 
150	N'Djamena, TD 	Africa East 
350	Taipei, TW 	Asia North 
550	Total Amount 	
		
 		
Oil 		
Amount Needed 	City 	Region 
25	Richmond, VA 	USA East 
50	Freetown, SL 	Africa West 
50	Gafsa, TN 	Africa West 
50	Rabat, MA 	Africa West 
50	Carpentaria, AU 	Oceania East 
50	Rivera, BR 	S. America Center 
50	Helena, MT 	USA Center 
50	Providence, RI 	USA East 
150	Halifax, NS 	Canada East 
150	Irkutsk, RU 	Russia East 
350	Almaty, KZ 	Asia Center 
1	Banff, AB 	Canada West 
2,025	Total Amount 	
		
 		
Onion 		
Amount Needed 	City 	Region 
25	Shendi, SD 	Africa East 
25	Waddan, LY 	Africa East 
25	Chisinau, MD 	Europe East 
50	Bratislava, SK 	Europe East 
50	Mildura, AU 	Oceania East 
150	Zagreb, HR 	Europe South 
350	Prague, CZ 	Europe East 
350	Samara, RU 	Russia West 
1	Durango, MX 	Mexico 
2,025	Total Amount 	
		
 		
Orange 		
Amount Needed 	City 	Region 
25	Makambako, TZ 	Africa Center 
25	Yakutat, AK 	Alaska 
25	Iskut, BC 	Canada West 
25	Jefferson City, MO 	USA South 
50	Warnambool, AU 	Oceania East 
50	Kananga, DR 	Africa Center 
50	Malindi, KE 	Africa East 
50	Petropavlovsk-Kamchatsky, RU 	Russia East 
50	Hartford, CT 	USA East 
150	Sacramento, CA 	USA West 
350	Uralsk, KZ 	Asia Center 
350	Xiamen, CN 	Asia North 
350	Washington, DC 	USA East 
1,55	Total Amount 	
		
 		
Origami 		
Amount Needed 	City 	Region 
25	Mekambo, GA 	Africa Center 
150	Kaxgar, CN 	Asia North 
175	Total Amount 	
		
 		
Palm Oil 		
Amount Needed 	City 	Region 
50	Sousse, TN 	Africa West 
50	Ziguinchor, SN 	Africa West 
50	Borroloola, AU 	Oceania West 
350	Recife, BR 	S. America Center 
500	Total Amount 	
		
 		
Papaya 		
Amount Needed 	City 	Region 
50	Ouragla, AL 	Africa West 
50	Touba, SN 	Africa West 
50	Puerto Madryn, AR 	S. America Lower 
150	Sorong, PG 	Oceania East 
150	Georgetown, GY 	S. America Upper 
450	Total Amount 	
		
 		
Paper 		
Amount Needed 	City 	Region 
25	Mwanza, TZ 	Africa Center 
25	Cuvelai, AO 	Africa South 
50	Gweru, ZW 	Africa South 
50	Madison, WI 	USA Center 
50	Tallahassee, FL 	USA South 
150	Blagoveshchensk, RU 	Russia East 
150	Raleigh, NC 	USA East 
350	Acapulco, MX 	Mexico 
350	Columbus, OH 	USA East 
1,2	Total Amount 	
		
 		
Parka 		
Amount Needed 	City 	Region 
50	Kalomo, ZM 	Africa South 
150	Windhoek, NA 	Africa South 
350	Fairbanks, AK 	Alaska 
350	Ottawa, ON 	Canada East 
1	Berlin, DE 	Europe North 
1	Seattle, WA 	USA West 
2,9	Total Amount 	
		
 		
Passionfruit 		
Amount Needed 	City 	Region 
50	Port Hedland, AU 	Oceania West 
1	Pago Pago, AS 	Oceania East 
1,05	Total Amount 	
		
 		
Pasta 		
Amount Needed 	City 	Region 
25	Swia Oasis, EG 	Africa East 
50	Bosaso, SO 	Africa East 
50	Naples, IT 	Europe South 
50	Luxembourg City, LU 	Europe West 
150	Cardiff, UK 	Europe West 
1	Panama, PA 	Central America 
1	Cancun, MX 	Mexico 
2,325	Total Amount 	
		
 		
Peanut 		
Amount Needed 	City 	Region 
25	Naknek, AK 	Alaska 
25	Guasave, MX 	Mexico 
25	San Luis Potosi, MX 	Mexico 
50	Agadir, MA 	Africa West 
50	Kenema, SL 	Africa West 
50	Tangier, MA 	Africa West 
350	La Paz, MX 	Mexico 
1	The Bahamas 	Caribbean 
1,575	Total Amount 	
		
 		
Pear 		
Amount Needed 	City 	Region 
25	Andapa, MG 	Africa South 
25	Richards Bay, SA 	Africa South 
50	Cocklebiddy, AU 	Oceania West 
150	Huancayo, PE 	S. America Upper 
1	Guangzhou, CN 	Asia North 
1,25	Total Amount 	
		
 		
Pearl 		
Amount Needed 	City 	Region 
25	Sibiti, ROC 	Africa Center 
350	Yantai, CN 	Asia North 
375	Total Amount 	
		
 		
Pepper 		
Amount Needed 	City 	Region 
50	Agadez, NE 	Africa West 
150	Maseru, LS 	Africa South 
150	Townsville, AU 	Oceania East 
350	Total Amount 	
		
 		
Persimmon 		
Amount Needed 	City 	Region 
50	Aswan, EG 	Africa East 
150	Mombasa, KE 	Africa East 
350	Qingdao, CN 	Asia North 
550	Total Amount 	
		
 		
Pig 		
Amount Needed 	City 	Region 
25	Sabha, LY 	Africa East 
25	Augusta, ME 	USA East 
50	Bahur Dar, ET 	Africa East 
50	Trenton, NJ 	USA East 
150	Point Hope, AK 	Alaska 
150	Regina, SK 	Canada Center 
150	Wood Buffalo, AB 	Canada West 
350	Dallas, TX 	USA South 
950	Total Amount 	
		
 		
Pineapple 		
Amount Needed 	City 	Region 
50	Kabinda, DR 	Africa Center 
50	Berbera, SO 	Africa East 
150	Dodoma, TZ 	Africa Center 
150	Chignik, AK 	Alaska 
150	Dunedin, NZ 	Oceania East 
350	Tashkent, UZ 	Asia Center 
350	Melbourne, AU 	Oceania East 
1,25	Total Amount 	
		
 		
Pink Salt 		
Amount Needed 	City 	Region 
50	Tshikapa, DR 	Africa Center 
1	Brasilia, BR 	S. America Center 
1,05	Total Amount 	
		
 		
Pizza 		
Amount Needed 	City 	Region 
25	Toledo, OH 	USA East 
50	Oujda, MA 	Africa West 
50	White Mountain, AK 	Alaska 
50	Mount Isa, AU 	Oceania East 
50	Lincoln, NE 	USA Center 
150	Abidjan, CI 	Africa West 
150	Winnipeg, MB 	Canada Center 
150	London, ON 	Canada East 
150	Calama, CL 	S. America Lower 
150	Comodoro Rivadavia, AR 	S. America Lower 
350	Austin, TX 	USA South 
1	Los Angeles, CA 	USA West 
2,325	Total Amount 	
		
 		
Pocket Game 		
Amount Needed 	City 	Region 
25	Bir Anzerane, EH 	Africa West 
150	Oran, AL 	Africa West 
